ccode,OECD_Country_Name,ISO3OECD,OECD_Region,OECD_simple_name
238,Falkland Islands (Malvinas),FLK,Latin America and Carib.,Falkland Islands (malvinas)
254,French Guiana,GUF,Latin America and Carib.,French Guiana
328,Guyana,GUY,Latin America and Carib.,Guyana
600,Paraguay,PRY,Latin America and Carib.,Paraguay
604,Peru,PER,Latin America and Carib.,Peru
740,Suriname,SUR,Latin America and Carib.,Suriname
858,Uruguay,URY,Latin America and Carib.,Uruguay
862,Venezuela (Bolivarian Republic of),VEN,Latin America and Carib.,"Venezuela, Bolivarian Republic Of"
36,Australia,AUS,W. Offshoots,Australia
554,New Zealand,NZL,W. Offshoots,New Zealand
574,Norfolk Island,NFK,South and South-East Asia,Norfolk Island
242,Fiji,FJI,South and South-East Asia,Fiji
540,New Caledonia,NCL,South and South-East Asia,New Caledonia
598,Papua New Guinea,PNG,South and South-East Asia,Papua New Guinea
90,Solomon Islands,SLB,South and South-East Asia,Solomon Islands
548,Vanuatu,VUT,South and South-East Asia,Vanuatu
316,Guam,GUM,South and South-East Asia,Guam
296,Kiribati,KIR,South and South-East Asia,Kiribati
584,Marshall Islands,MHL,South and South-East Asia,Marshall Islands
583,Micronesia (Federated States of),FSM,South and South-East Asia,"Micronesia, Federated States Of"
520,Nauru,NRU,South and South-East Asia,Nauru
580,Northern Mariana Islands,MNP,South and South-East Asia,Northern Mariana Islands
582,Pacific Islands (Trust Territory) (1947-1986),,South and South-East Asia,Pacific Islands (trust Territory) (1947-1986)
585,Palau,PLW,South and South-East Asia,Palau
16,American Samoa,ASM,South and South-East Asia,American Samoa
184,Cook Islands,COK,South and South-East Asia,Cook Islands
258,French Polynesia,PYF,South and South-East Asia,French Polynesia
570,Niue,NIU,South and South-East Asia,Niue
612,Pitcairn,PCN,South and South-East Asia,Pitcairn
882,Samoa,WSM,South and South-East Asia,Samoa
772,Tokelau,,South and South-East Asia,Tokelau
776,Tonga,TON,South and South-East Asia,Tonga
798,Tuvalu,TUV,South and South-East Asia,Tuvalu
876,Wallis and Futuna Islands,WLF,South and South-East Asia,Wallis And Futuna
